DATE,VALUE
2015-01-01,1.1615
2015-02-01,1.135
2015-03-01,1.0819
2015-04-01,1.0822
2015-05-01,1.1167
2015-06-01,1.1226
2015-07-01,1.0997
2015-08-01,1.1136
2015-09-01,1.1229
2015-10-01,1.1228
2015-11-01,1.0727
2015-12-01,1.0889
2016-01-01,1.0855
2016-02-01,1.1092
2016-03-01,1.1134
2016-04-01,1.1346
2016-05-01,1.1312
2016-06-01,1.1232
2016-07-01,1.1055
2016-08-01,1.1207
2016-09-01,1.1218
2016-10-01,1.1014
2016-11-01,1.0792
2016-12-01,1.0545
2017-01-01,1.0635
2017-02-01,1.065
2017-03-01,1.0691
2017-04-01,1.0714
2017-05-01,1.105
2017-06-01,1.1233
2017-07-01,1.153
2017-08-01,1.1813
2017-09-01,1.1913
2017-10-01,1.1755
2017-11-01,1.1743
2017-12-01,1.1836
2018-01-01,1.2197
2018-02-01,1.234
2018-03-01,1.2334
2018-04-01,1.227
2018-05-01,1.1823
2018-06-01,1.1679
2018-07-01,1.1685
2018-08-01,1.1547
2018-09-01,1.1667
2018-10-01,1.1488
2018-11-01,1.1364
2018-12-01,1.138
2019-01-01,1.1418
2019-02-01,1.1349
2019-03-01,1.1296
2019-04-01,1.1234
2019-05-01,1.1187
2019-06-01,1.1295
2019-07-01,1.1211
2019-08-01,1.1129
2019-09-01,1.1011
2019-10-01,1.1058
2019-11-01,1.1051
2019-12-01,1.1114
2020-01-01,1.1098
2020-02-01,1.0911
2020-03-01,1.1046
2020-04-01,1.0871
2020-05-01,1.0907
2020-06-01,1.1259
2020-07-01,1.1488
2020-08-01,1.1831
2020-09-01,1.1785
2020-10-01,1.1768
2020-11-01,1.1826
2020-12-01,1.2168
2021-01-01,1.2178
2021-02-01,1.2094
2021-03-01,1.1902
2021-04-01,1.1965
2021-05-01,1.2146
2021-06-01,1.2048
2021-07-01,1.1821
2021-08-01,1.1767
2021-09-01,1.1765
2021-10-01,1.16
2021-11-01,1.1416
2021-12-01,1.1301
2022-01-01,1.1317
2022-02-01,1.1349
2022-03-01,1.1019
2022-04-01,1.0803
2022-05-01,1.0567
2022-06-01,1.0567
2022-07-01,1.0168
2022-08-01,1.0129
2022-09-01,0.9899
2022-10-01,0.9853
2022-11-01,1.0192
2022-12-01,1.0591
2023-01-01,1.0777
2023-02-01,1.0702
2023-03-01,1.0711
2023-04-01,1.0962
2023-05-01,1.0867
2023-06-01,1.084
2023-07-01,1.1067
2023-08-01,1.091
2023-09-01,1.0672
2023-10-01,1.0565
2023-11-01,1.0819
2023-12-01,1.0909
2024-01-01,1.0899
2024-02-01,1.0793
2024-03-01,1.087
2024-04-01,1.0724
2024-05-01,1.081
2024-06-01,1.0763
2024-07-01,1.0847
2024-08-01,1.102
2024-09-01,1.1104
2024-10-01,1.0895
2024-11-01,1.0621
2024-12-01,1.0472
2025-01-01,1.0356
2025-02-01,1.0413
2025-03-01,1.0813
