DATE,VALUE
2015-02-02,0.38
2015-03-02,0.36
2015-04-01,0.38
2015-05-01,0.4
2015-06-01,0.42
2015-07-01,0.42
2015-08-03,0.42
2015-09-01,0.46
2015-10-01,0.47
2015-11-02,0.44
2015-12-01,0.43
2015-12-24,0.55
2016-02-01,0.42
2016-03-01,0.44
2016-04-01,0.43
2016-05-02,0.41
2016-06-01,0.44
2016-07-01,0.53
2016-08-01,0.5
2016-09-01,0.49
2016-10-03,0.5
2016-11-01,0.45
2016-12-01,0.45
2016-12-22,0.26
2017-02-01,0.44
2017-03-01,0.44
2017-04-03,0.44
2017-05-01,0.44
2017-06-01,0.44
2017-07-03,0.44
2017-08-01,0.45
2017-09-01,0.45
2017-10-02,0.45
2017-11-01,0.45
2017-12-01,0.45
2017-12-21,0.37
2018-02-01,0.31
2018-03-01,0.34
2018-04-02,0.37
2018-05-01,0.41
2018-06-01,0.45
2018-07-02,0.45
2018-08-01,0.44
2018-09-04,0.44
2018-10-01,0.45
2018-11-01,0.46
2018-12-03,0.45
2018-12-18,1.29
2019-02-01,0.44
2019-03-01,0.44
2019-04-01,0.45
2019-05-01,0.45
2019-06-03,0.46
2019-07-01,0.44
2019-08-01,0.42
2019-09-03,0.41
2019-10-01,0.4
2019-11-01,0.41
2019-12-02,0.41
2019-12-19,0.44
2020-02-03,0.41
2020-03-02,0.42
2020-04-01,0.41
2020-05-01,0.38
2020-06-01,0.34
2020-07-01,0.33
2020-08-03,0.33
2020-09-01,0.33
2020-10-01,0.37
2020-11-02,0.4
2020-12-01,0.4
2020-12-17,0.4
2021-02-01,0.36
2021-03-01,0.35
2021-04-01,0.35
2021-05-03,0.35
2021-06-01,0.36
2021-07-01,0.36
2021-08-02,0.35
2021-09-01,0.35
2021-10-01,0.35
2021-11-01,0.36
2021-12-01,0.36
2021-12-16,0.37
2022-02-01,0.37
2022-03-01,0.36
2022-04-01,0.38
2022-05-02,0.36
2022-06-01,0.33
2022-07-01,0.36
2022-08-01,0.35
2022-09-01,0.31
2022-10-03,0.37
2022-11-01,0.38
2022-12-01,0.34
2022-12-15,0.34
2023-02-01,0.31
2023-03-01,0.38
2023-04-03,0.36
2023-05-01,0.35
2023-06-01,0.35
2023-07-03,0.35
2023-08-01,0.35
2023-09-01,0.36
2023-10-02,0.35
2023-11-01,0.36
2023-12-01,0.33
2023-12-14,0.36
2024-02-01,0.37
2024-03-01,0.39
2024-04-01,0.37
2024-05-01,0.36
2024-06-03,0.36
2024-07-01,0.38
2024-08-01,0.39
2024-09-03,0.37
2024-10-01,0.39
2024-11-01,0.42
2024-12-02,0.39
2024-12-18,0.43
2024-12-30,0.25
2025-02-03,0.44
2025-03-03,0.39
